directory	file	supplementary_code_id	in_submission_set	md5	description
lib	structure_mr_cr_ChimeraX.py	SC04	yes	0e67662b9137a88084518562f72f4566	The class-resolved pairwise measurement: the same superposition as compute_mr_cr, but MR and CR returned separately for buried core, surface, helix, extended strand and coil. Also supplies the mmCIF reader and the maximum-solvent-accessibility table used by the residue-level stages.
lib	residue_cr_accessibility.py	SC12	yes	8da8e278097379384e18a8dd3b73e4b0	Residue-level quantification: mutational ACCESSIBILITY (FoldX) vs CONSERVATION.
lib	add_lrmsd.py	SC13	yes	3edeeab63932a1e5cd97222e35ebc9fd	Per-residue lRMSD (structural drift across orthologs) for all 35 genes — 37's structural dimension, brought to residue level. For each reference residue: RMS of its Cα deviation across ortholog AF3 models, after Kabsch superposition using the MSA-derived residue correspondence.
lib	plot_mr_cr_jointplot.py	-	no (added for this release)	8284c4ae350cae80084fa416a1e7a0d5	Supplies load_mr_cr_from_dir, the canonical aggregation from per-pair rows to one MR and one CR per analysis unit: orthogroup-median and invalid rows dropped, ratios required to lie in [0, 1], a pair kept only when the mapped length reaches 30% of the reference length, then the mean over surviving pairs.
lib	cyano_cost_lib.py	-	no (added for this release)	8db2680a2c3dbf77bad27b4b24e2286c	Shared constants for the cost calculations: the amino-acid to metabolite mapping used to place the demand flux, residue molecular weights, canonical residue order and the model file locations.
01_panel_and_orthology	build_analysis_units_351.py	SC01	yes	311e74696e5746dd1644a27f10386821	Assembles the whole-project panorama: collects every computed unit across the four prediction trees, applies the canonical aggregation, attaches pathway labels and the single-copy core flag, and writes the 351-unit master table.
02_structure_prediction	run_alphafold3_batch.py	-	no (added for this release)	c02b8d7975fbd55795b29744dffd9686	Drives AlphaFold 3 over the panel: writes one single-chain ligand-free JSON per sequence, distributes jobs over four GPUs with one concurrent job each, skips existing output directories so the run is resumable, and records sequences above 3,000 residues as not predicted.
02_structure_prediction	summarise_plddt.py	SC02	yes	0ceed2b9bb9a38635abcb4e715770556	Traverses every model predicted for the panel and computes the confidence summaries: residue-level pLDDT distribution, per-model means, and the per-strain medians used to show that model quality does not track phylogenetic position, genome size or habitat.
03_mr_cr	prepare_layout.py	-	no (added for this release)	9f1a6a27b0d17690961df2eade55af67	Lays out one directory per analysis unit and selects each unit's reference structure by the three-tier rule (PCC 6803, else BP-1, else the member with the most resolved Ca atoms), writing the choice and its tier to alt_ref_map.tsv.
03_mr_cr	mrcr_one.sh	-	no (added for this release)	1da5b1cc7bdaaf9a8f92c3e9ad9956c9	Per-target worker invoked by the pairwise driver: activates the environment, passes the reference chosen by prepare_layout.py explicitly, and skips targets already computed so the run is resumable.
03_mr_cr	compute_mr_cr_ChimeraX.py	SC03	yes	c303bdf503cc49b289e2323948ff4e9c	The core measurement. Superposes each orthologue on the reference with ChimeraX matchmaker, matches Ca atoms one-to-one within 2.0 A, applies the pLDDT >= 70 mask to both structures, and returns the mapping ratio and the conservation ratio per pair.
04_structural_partition	aggregate_core_surface_351.py	SC05	yes	6b3501c3a20e3ae448b31ae29b1298af	Aggregate existing per-target core/surface CR (Result_Structure/*_mrcr_results.csv) to the 351 panorama families. complete_CR = panorama whole-protein CR. Reports coverage per category.
04_structural_partition	compute_buried_fraction_351.py	SC06	yes	59f45455ff37374d9759a05106c80ad3	Buried-residue fraction for every reference structure in the 351-family panel.
05_functional_sites	build_functional_sites.py	SC07	yes	09b144c2a0c90359490a566216c8b83b	Independent functional-site annotations per enzyme from UniProt (CR-independent), for all 35 genes. For each gene: query reviewed cyanobacterial (taxon 1117) entries, pick the candidate whose sequence best matches our FoldX reference, align it to the reference, and map UniProt functional sites (Active site / Binding site / Metal binding / Site) onto our reference residue numbering.
05_functional_sites	build_upb_masks_351.py	SC08	yes	908997f13347a3ab19957875a6453ed8	Step B1 (fast, no ChimeraX): for each UPb-covered gene-named family, pick the reference AF3 structure, extract its sequence+resids, fetch reviewed-cyano UniProt sites, align, and map sites onto reference residue numbering. Writes upb_sites_351.csv (unit, ref_path, ResID, is_site) + upb_sites_summary_351.csv. Run in mrcr env (Bio.Align, gemmi).
05_functional_sites	compute_binding_cr_351.py	SC09	yes	04e06451bdcbf531bbbb1dabd385f98e	Step B2 (heavy, ChimeraX): for each UPb-covered family, compute MR/CR for four masks {complete, core, surface, binding} against every member, using the canonical structure_mr_cr pipeline (2.0 A Ca mapping, RSA<0.25 = core). Reference + core/surface reproduced here so all four categories are self-consistent. Checkpointed (skips existing outputs). Run in mrcr env.
06_residue_energetics	run_foldx_whole_protein.py	SC10	yes	b47c76955f8a6c13fe5870745bcdb9a4	Drives FoldX 5: RepairPDB with water ignored, then PositionScan over every residue and all 19 alternative amino acids.
06_residue_energetics	calc_fsv.py	SC11	yes	f2b8004b3fb15f831ad3fe5643e7d539	Computes the fraction of surviving variants at the 2 kcal/mol threshold, and at 1 and 3 kcal/mol for the threshold robustness check.
07_positional_geometry	functional_constellation_rigidity.py	SC14	yes	f7ef9dc335049de0e630fe1f9827d266	Functional-constellation geometric rigidity (generalisable P) — all genes with reliable UniProt sites.
08_metabolic_flux	run_native_fba.py	SC15	yes	717597624924fc1f61b6dc925bdc6feb	Runs parsimonious FBA on the six genome-scale models under light and dark, with the per-model photon lower bounds and the closure of heterotrophic carbon uptake applied as documented in the script.
08_metabolic_flux	aggregate_to_og.py	SC16	yes	be22fa1e309a7f62a16cbafc9c02d7f0	Collapses the per-reaction flux table from (strain, model, orthogroup, reaction, gene) granularity to one row per orthogroup, deriving light flux, dark flux, diel amplitude and mean magnitude, per model and as a cross-model consensus.
09_diel_demand	diel_build_and_analyze_knoop2013.py	SC17	yes	aaf22c551220baca285b8a2c3bbd9ab7	Builds the curated diel flux series of Knoop et al. 2013 for PCC 6803 and tests diel amplitude and mean magnitude against conservation.
